genres,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,popularity,duration_min,collab,key,mode,explicit,available_markets,tempo,loudness
quiet storm,0.5932751879699248,0.5704190267335004,0.05115085317460317,0.37674851503759405,0.0328820371976817,0.1776235463659148,0.6892958542188805,0.5300649540517962,3.729135338345865,0.5261069340016709,7,1,0,1.0,5,5
disco,0.6235915204678363,0.6189219298245614,0.0519024074074074,0.33665613645224174,0.050496580387914235,0.17590464912280704,0.6749651072124756,0.5273352826510721,4.276413255360624,0.5136452241715399,5,1,0,1.0,5,5
traditional folk,0.5170666666666667,0.42432456140350877,0.03350105263157896,0.5212035087719298,0.004735353877192983,0.19362631578947367,0.5521631578947368,0.5244561403508773,3.7368421052631575,0.5087719298245613,7,1,0,1.0,6,5
hip house,0.8626111111111109,0.7115,0.14419444444444446,0.03668666666666666,0.01813504222222222,0.1879611111111111,0.7093888888888888,0.5238888888888888,4.166666666666667,0.5555555555555556,11,1,0,1.0,5,5
queens hip hop,0.8626111111111109,0.7115,0.14419444444444446,0.03668666666666666,0.01813504222222222,0.1879611111111111,0.7093888888888888,0.5238888888888888,4.166666666666667,0.5555555555555556,11,1,0,1.0,5,5
motown,0.6057089488426948,0.578114645273314,0.055972235449735445,0.41651257375055284,0.026846161210219172,0.21823398189100204,0.7101889028125871,0.5228031066227661,3.585600029485478,0.5247575638442511,7,1,0,1.0,6,5
electric blues,0.5329823057644111,0.5634259649122807,0.052435984962406014,0.39413133734335837,0.10855803764561403,0.22699873182957395,0.63554335839599,0.5216446115288221,3.8084711779448623,0.5243107769423558,9,1,0,1.0,5,5
punk,0.46759999999999996,0.8351250000000001,0.076335,0.06303846924999999,0.11907708774999999,0.18378250000000002,0.627075,0.52125,3.6,0.5,2,1,0,1.0,7,5
cosmic american,0.5630000000000001,0.5003578947368421,0.03473438596491229,0.3695535087719299,0.014784064877192983,0.2051329824561404,0.640563157894737,0.5191228070175439,3.903508771929824,0.5087719298245613,11,1,0,1.0,6,5
piano blues,0.5428368421052633,0.5318157894736841,0.06471684210526314,0.6602736842105262,0.045443657368421056,0.14726289473684212,0.7211973684210526,0.5147631578947367,3.0973684210526313,0.513157894736842,11,1,0,1.0,6,5
lounge,0.5779000000000001,0.5006,0.04074,0.570265,0.031903772,0.1524075,0.7746,0.50225,2.425,0.5,9,1,0,1.0,6,5
rock-and-roll,0.5603270102339181,0.5735192434210526,0.06156034173976608,0.5670785718201755,0.012498025701754387,0.21155592470760234,0.7596234649122805,0.5011209795321637,2.670065789473684,0.5098866959064328,9,1,0,1.0,6,5
rockabilly,0.5572022776238844,0.5846501385041551,0.06753456448137891,0.5533363204062788,0.014162181345337027,0.22285427208371805,0.7643433979686056,0.5007910126192675,2.607756232686981,0.5100030778701139,9,1,0,1.0,6,5
