danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,popularity,explicit,id,name,release_date,artists,available_markets,tempo,loudness,duration_min
0.4370000000000001,0.8640000000000001,4,0,0.0904,0.396,0.0314,0.242,0.7490000000000001,0.73,0,3qT4bUD1MaWpGrTwcvguhb,Black Dog - 2012 Remaster,1971-11-08,['Led Zeppelin'],1.0,1,6,5
0.47600000000000003,0.7170000000000001,9,1,0.0949,0.0382,7.609999999999999e-05,0.0818,0.753,0.71,0,0QwZfbw26QeUoIy82Z2jYp,Good Times Bad Times - 1993 Remaster,1969-01-12,['Led Zeppelin'],1.0,2,5,3
0.46799999999999997,0.607,9,1,0.0336,0.07200000000000001,0.000852,0.225,0.8859999999999999,0.7,0,3MODES4TNtygekLl146Dxd,Ramble On - 1990 Remaster,1969-10-22,['Led Zeppelin'],1.0,2,4,4
0.48,0.536,2,1,0.0427,0.488,4.22e-05,0.155,0.581,0.7,0,2nVHqZbOGkKWzlcy1aMbE7,Kashmir - 1990 Remaster,1975-02-24,['Led Zeppelin'],0.9746835443037974,1,4,8
0.317,0.887,9,1,0.0375,0.000582,0.0025800000000000003,0.0891,0.871,0.67,0,4PRGxHpCpF2yoOHYKQIEwD,Rock and Roll - 2012 Remaster,1971-11-08,['Led Zeppelin'],1.0,6,6,4
0.503,0.265,2,1,0.0333,0.943,0.045,0.0867,0.522,0.67,0,70gbuMqwNBE2Y5rkQJE9By,Going to California - 2012 Remaster,1971-11-08,['Led Zeppelin'],1.0,1,1,4
0.525,0.929,9,0,0.0784,0.262,2.8999999999999997e-05,0.0754,0.556,0.65,0,4ItljeeAXtHsnsnnQojaO2,D'yer Mak'er - 2012 Remaster,1973-03-28,['Led Zeppelin'],1.0,6,6,4
0.34600000000000003,0.765,8,1,0.0413,0.00229,7.54e-06,0.213,0.644,0.71,1,6gZVQvQZOFpzIy3HblJ20F,Man in the Box,1990-08-01,['Alice In Chains'],1.0,2,2,5
0.305,0.8320000000000001,6,1,0.0398,0.000332,2.4e-05,0.091,0.585,0.71,0,5sFDReWLrZHLFZFjHsjUTS,Would?,1992-01-01,['Alice In Chains'],1.0,2,2,3
0.269,0.551,10,0,0.0274,0.0307,0.0006190000000000001,0.118,0.202,0.69,0,0wvIGFIgbyz4JNwQhZgTv2,Rooster,1992-01-01,['Alice In Chains'],1.0,5,2,6
0.384,0.562,3,0,0.0296,0.37,0.267,0.0775,0.159,0.68,0,2JuasWPUodaUxf5nwNpciQ,Nutshell,1994,['Alice In Chains'],1.0,4,1,4
